"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.43993,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.53357,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.73518,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.3664,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.752,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.0118,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.0141,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.9192,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.8654,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7863,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8002,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.6874,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.5012,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.3333,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4766,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.572,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5482,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.509,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.5307,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.651,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.6293,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4851,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.381,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3621,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.4377,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.7613,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.0931,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.2387,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.2266,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.1966,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.1577,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.0877,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.9837,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.9434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.0381,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.1569,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.3039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.2842,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.2031,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.2319,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.3885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.4859,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.4369,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.3543,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.2986,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.2683,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.2791,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.3592,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.3421,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.2371,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.0731,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.8767,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.9283,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.1383,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.2958,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.3903,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.3153,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.0979,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.7652,
